titulo_original,tmdb_id,tipo,season,episode,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Stranger Things,66732,tv_episode,5,3,de,DE,German,,
Stranger Things,66732,tv_episode,5,3,en,US,English,Chapter Three: The Turnbow Trap,
Stranger Things,66732,tv_episode,5,3,bs,BS,Bosnian,,
Stranger Things,66732,tv_episode,5,3,fr,FR,French,Le piège,
Stranger Things,66732,tv_episode,5,3,es,ES,Spanish,,
Stranger Things,66732,tv_episode,5,3,zh,CN,Mandarin,特波陷阱,
Stranger Things,66732,tv_episode,5,3,pt,BR,Portuguese,,
Stranger Things,66732,tv_episode,5,3,el,GR,Greek,,
Stranger Things,66732,tv_episode,5,3,pl,PL,Polish,Pułapka u Turnbowów,
Stranger Things,66732,tv_episode,5,3,ru,RU,Russian,Третья глава: Ловушка для Тернбоу,
Stranger Things,66732,tv_episode,5,3,it,IT,Italian,,
Stranger Things,66732,tv_episode,5,3,hu,HU,Hungarian,,
Stranger Things,66732,tv_episode,5,3,cs,CZ,Czech,Kapitola třetí: Turnbowská past,
Stranger Things,66732,tv_episode,5,3,pt,PT,Portuguese,,
Stranger Things,66732,tv_episode,5,3,da,DK,Danish,,
Stranger Things,66732,tv_episode,5,3,ko,KR,Korean,,
Stranger Things,66732,tv_episode,5,3,uk,UA,Ukrainian,,
Stranger Things,66732,tv_episode,5,3,id,ID,Indonesian,,
Stranger Things,66732,tv_episode,5,3,ro,RO,Romanian,,
Stranger Things,66732,tv_episode,5,3,he,IL,Hebrew,פרק 3: המלכודת בטרנבו,
Stranger Things,66732,tv_episode,5,3,sr,RS,Serbian,,
Stranger Things,66732,tv_episode,5,3,zh,TW,Mandarin,,
Stranger Things,66732,tv_episode,5,3,lt,LT,Lithuanian,,
Stranger Things,66732,tv_episode,5,3,sk,SK,Slovak,,
Stranger Things,66732,tv_episode,5,3,tr,TR,Turkish,,
Stranger Things,66732,tv_episode,5,3,sv,SE,Swedish,,
Stranger Things,66732,tv_episode,5,3,es,MX,Spanish,,
Stranger Things,66732,tv_episode,5,3,nl,NL,Dutch,,
Stranger Things,66732,tv_episode,5,3,hr,HR,Croatian,,
Stranger Things,66732,tv_episode,5,3,fr,CA,French,,
Stranger Things,66732,tv_episode,5,3,bg,BG,Bulgarian,Глава трета: Капанът на стрелците,
Stranger Things,66732,tv_episode,5,3,no,NO,Norwegian,,
Stranger Things,66732,tv_episode,5,3,fi,FI,Finnish,,
Stranger Things,66732,tv_episode,5,3,fa,IR,Persian,,
Stranger Things,66732,tv_episode,5,3,ar,SA,Arabic,,
Stranger Things,66732,tv_episode,5,3,vi,VN,Vietnamese,,
Stranger Things,66732,tv_episode,5,3,ja,JP,Japanese,,
Stranger Things,66732,tv_episode,5,3,th,TH,Thai,,
Stranger Things,66732,tv_episode,5,3,ka,GE,Georgian,,
Stranger Things,66732,tv_episode,5,3,uz,UZ,Uzbek,,
Stranger Things,66732,tv_episode,5,3,ar,AE,Arabic,,
Stranger Things,66732,tv_episode,5,3,eu,ES,Basque,,
Stranger Things,66732,tv_episode,5,3,so,SO,Somali,,
Stranger Things,66732,tv_episode,5,3,bn,BD,Bengali,,
Stranger Things,66732,tv_episode,5,3,zh,HK,Mandarin,特波陷阱,
Stranger Things,66732,tv_episode,5,3,nl,BE,Dutch,,
Stranger Things,66732,tv_episode,5,3,zh,SG,Mandarin,,
Stranger Things,66732,tv_episode,5,3,sl,SI,Slovenian,,
Stranger Things,66732,tv_episode,5,3,tl,PH,Tagalog,,
Stranger Things,66732,tv_episode,5,3,hi,IN,Hindi,,
Stranger Things,66732,tv_episode,5,3,ms,MY,Malay,,
Stranger Things,66732,tv_episode,5,3,lv,LV,Latvian,,
Stranger Things,66732,tv_episode,5,3,de,AT,German,,
